ID;CTL
50;AG((!OnsideFDOn & !IsAPEngaged)-> AX(IsAPEngaged -> OnsideFDOn))
51;AG((!ModeAnnunciationsOn & !OnsideFDOn) -> AX((IsThisSideActive & OnsideFDOn) -> ModeAnnunciationsOn))
52;AG((!ModeAnnunciationsOn & !OffsideFDOn) -> AX((IsThisSideActive & OffsideFDOn) -> ModeAnnunciationsOn))
53;AG((!ModeAnnunciationsOn & !IsAPEngaged) -> AX((IsThisSideActive & IsAPEngaged) -> ModeAnnunciationsOn))
54;AG(ModeAnnunciationsOn -> AX((IsThisSideActive & !OnsideFDOn & !OffsideFDOn & !IsAPEngaged) -> !ModeAnnunciationsOn))
55;(!ModeAnnunciationsOn)
56;AG(IsThisSideActive -> (ModeAnnunciationsOn <-> (OnsideFDOn | OffsideFDOn | IsAPEngaged)))
57;AG(FRAME -> AF(!FRAME & IRDY))
58;AG(Trigger -> AF(Transaction))
59;AG(FRAME -> AF(!FRAME))
60;AG(TRDY -> AX(TRDY & STOP -> X(TRDY & STOP)))
61;AG(REQ -> AF(GNT))
62;AG(devsel -> AX(!devsel -> !FRAME))
63;AG(DEVSEL -> AF(TRDY))
64;AG((STOP & IRDY) -> (AF(!FRAME)))
65;AG(Reset)
66;AG(AWVALID -> AX(stable(AWBURST)))
67;AG(ARESETn -> A[!(AX(BVALID))]
68;AG(WVALID -> (WUSER != X))
69;AG(!reset -> (CACTIVE != X))
70;AG((RVALID & !RREADY) -> (stable(RLAST)))
71;AG(WDEPTH >= 1)
72;AG(request -> AF (state = busy))
73;AGEF(!MCP.missionaries & !MCP.cannibals)
74;AG(requestCreateAccount -> AF(userAccountCreated))
75;AG((usernameProvided & passwordProvided) -> AF(login))
76;AG(userLogin -> AF(passwordUpdate))
77;AG(userLogin -> AF(bookmarkAdd))
78;AG(userLogin -> AF(bookmarkRetrieval))
79;AG(userLogin -> AF(bookmarkDelete))
80;AG(userLogin -> AF(bookmarkUpdate))
81;AG(userLogin -> AF(bookmarkPublic || bookmarkPrivate))
82;AG(userLogin -> AF(tagsAdded))
83;AG(publicBookmark -> AF(retrievePublicBookmark))
84;AG(searchByTag -> AF(publicBookmarkOfSpecificUser))
85;AG(searchByTag -> AF(publicBookmarksOfAllUsers))
86;AG((userLogin & searchByTag) -> AF(privateBookmarks))
87;AG(refreshDisplay)
88;AG(normalBusinessHours & userAccess & firstSixMonths -> AG(productAvailable))
89;AG(AccessByAuthorizedUsers)
90;AG(DataUpdated -> AF(FastResponse))
91;AG(MDIFormExists -> (AG(graphView) & AG(dataTableView)))
92;AG(eventTable)
93;AG(eventGraph)
94;AG(accessibleByInternalUsers & accessibleByExternalUsers)
95;AG(userAccess -> A[!userAccess W userAccess & AG(cardholderBase)])
96;AG((userInterface & realTimeResponse) -> EF(directDataEntry))
97;AG((caseClosed & timeElapsed >= 6) -> EF(casePurged))
98;AG(authorizedUser -> AF(viewAccess))
99;AG(authorizedUser -> AF(updateAccess))
100;AG(selectTransaction -> AF(initiateDispute))
101;AG(selectMultipleTransactions & sameMerchant -> EF(initiateDispute))
102;EF(createTicketRequest) | EF(initiateTicketRetrieval)
103;AG(createTicketRequest -> (EF(requestForOriginalReceipt) | EF(requestForCopyOfReceipt) | EF(requestForPortfolio)))
104;AG(externalUser -> AG(!requestForOriginalReceipt))
105;AG(createTicketRequest) -> AF(confirmationOfTicketRetrievalRequest)
106;EF(createChargebackRequest | initiateChargebackRequest)
107;AG(createChargebackRequest -> AF(promptEnterChargebackInfo))
108;AG(createChargebackRequest -> AF(confirmationWithInfo)) & confirmationWithInfo -> (disputeCaseNumber & chargebackType & merchantResponseDueDate)
109;AG(!duplicateDisputeRequest)
110;EF(viewDisputeCases)
111;AG(searchFunctionality -> (AG(searchByDisputeCaseNumber) & AG(searchByMerchantAccountNumber) & AG(searchByCardMemberAccountNumber) & AG(searchByIssuerNumber)))
112;AG((searchFunctionality -> AF(listOfDisputeCases)))
113;AG(viewHistoryFunctionality -> AF(viewActivityHistory))
114;AG(followUpFunctionality -> (AG(filterByStatusAndAccessLevel) -> AF(listOfAvailableFollowUpActions)))
115;AG((createDisputeCaseAction | modifyDisputeCaseAction) -> (AG(userNameRecorded) & AG(dateRecorded)))
116;AG(searchFunctionality -> EF(searchResultsTime <= 15))
117;AG(searchForPreferredRepairFacility -> EF(returnedPreferredRepairFacility <= 8))
118;AG(requestAudit -> AX(auditReturned))
119;EF(preferredRepairFacilityRatings -> AG(saveTime <= 5))
120;AG(applicationAvailable -> EF(scheduledOutageTime <= 0.02 * totalTime))
121;AG(ApplicationAvailable -> EF(FailureTime <= 0.02 * TotalTime))
122;AG(systemPerformance -> EF(simultaneousUsers <= 1500))
123;AG (averageRecycledPartsRecordsPerDay = 50,000)
124;AG(productLaunched -> EF(concurrentUsers <= 10000 & timeSinceLaunch <= 2))
125;AG(requestAudit -> AG(adjusterRole))
126;AG((adjusterRole & supervisorRole) -> EF(updateRatings)) & AG(updateRatings -> AF(adjusterRole & supervisorRole)) & AG(!supervisorRole -> AG(!accessRatings))
127;AG(collisionEstimatorRole -> EF(searchRecycledParts)) & AG(searchRecycledParts -> AF(collisionEstimatorRole)) & AG(!collisionEstimatorRole -> AG(!accessRecycledPartsSearch))
128;AG(validData)
129;AG(forall i,j : i != j => (insuranceCompany(i) -> AG(!viewClaimData(j))))
130;AG(!computerVirus)
131;AG(!denialOfService)
132;AG(earchFacility -> AF((userLocation & searchRadius) & facilityLocation))
133;AG(VehicleData(yearMake, model))
134;AG(vehicleLocation -> (streetAddress & city & state & zipCode))
135;AG((!zipCode & streetAddress & city & state) -> EF(zipCodeResolved))
136;AG(searchRadius >= 1 & searchRadius <= 30)
137;AG(searchFacility -> AF(highestRatingFacility))
138;AG(estimateAssignment -> AF(preferredFacilityEntered))
139;AG(estimateAssignment -> AF (overrideFacility | preferredFacility))
140;AG(preferredFacilityReturned)
141;AG((!preferredFacility & searchFacility) -> EF(listOfFacilities))
142;AG(estimator -> AF(searchRecycledParts))
143;AG(estimator -> AF(recycledPartsSearchedUsingSuppliers))
144;AG((!foundPartsPreferredSupplier & !foundPartsZipcode) -> EF(foundPartsForZipRadius & searchRadius <= 30))
145;AG(searchConducted & resultsReturned -> AF(partsAndSuppliersRetained))
146;AG((recycledPartsInfo & suppliersInfo) -> AF(infoReturnedToUser))
147;AG(partsSelected -> AF(partsApplied))
148;AG(noPartsReturned -> AG(!partsApplied))
149;AF(reviewEstimate)
150;AF(requestAudit)
151;AG(searchResultsProvided -> AF(systemRetrievesResults))
152;AG((availableRecycledParts & collisionEstimateReady) -> AF(auditReportGenerated))
153;AG(auditReportGenerated -> AF(totalRecycledPartsIncluded))
154;AG(auditReportGenerated -> AF(availablePartsIncluded))
155;AG(auditReportGenerated -> AF(percentageAvailablePartsIncluded))
156;AG(auditReportGenerated -> AF(totalAuditScoreIncluded))
157;AG(auditReportGenerated -> AF(auditReportDisplayed))
158;AG(auditReportGenerated -> AF(auditReportAvailable))
159;AG(userSelectsViewRatings -> AF(repairFacilityRatingsDisplayed))
160;AG(currentRatingsDisplayed)
161;AG(!ratingsDefined -> AF(blankRatingsDisplayed))
162;AG(auditReport -> EX(newRatingsEntered))
163;AF(rating >= 1 & rating <= 10)
164;AF(selectSaveRatings)
165;AF(savedRatings)
166;AG((responseTime <= 5) -> AF(90%TasksCompleted)) & AG((responseTime <= 8) -> AF(98%TasksCompleted))
167;AG((!serverFailure) -> AF(upTime >= 99.99))
168;AG(problem -> AF(exceptionLog & AX(AF(transmission))))
169;AG(peakTime -> (concurrentRequests <= 1000))
170;A[!productAgeInYears<=2 W (productAgeInYears<=2 & AF(transactionsPerHour >= 10000))]
171;A[(release != 2) W (release = 2 & AF(transactions = 20000))]
172;AG(installationAge <= 5)
173;AG(productAccess -> AF (isEmployee | hasApprovedId))
174;AG(searchReservationByUser -> AF(managementLogon)) 
175;AG(enterData -> AF(dataInDatabase = enteredData))
176;AG(maliciousDataInput -> AX(dataUncorrupted))
177;AG(maliciousDataInput -> AX(systemOperational))
178;AG(automaticUpdatesAvailable -> AX(customersReceiveUpdates))
179;AG(meetingEntry -> AX(recorded))
180;AG(meetingInvitation -> AX(notified))
181;AG(meetingScheduled -> AF(reminderSent))
182;AG(meetingCreated -> AF(organizerContactAssigned))
183;AG(meetingAcknowledged -> AF(acknowledgmentRecorded))
184;AG(conferenceRoomAdded -> AF(conferenceRoomStored))
185;AG(conferenceRoomUpdateRequest -> AF(conferenceRoomUpdated))
186;AG(conferenceRoomDeletionRequest -> AF(conferenceRoomDeleted))
187;AG(newRoomEquipmentRequest -> AF(roomEquipmentStored))
188;AG(updateRoomEquipmentRequest -> AF(roomEquipmentUpdated))
189;AG(deleteRoomEquipmentRequest -> AF(roomEquipmentDeleted))
190;AG(organizerInvitesEmployees -> AF(employeesInvited))
191;AG(conferenceRoomReserved -> AX(conferenceRoomScheduleUpdated))
192;AG(equipmentReserved -> EX(transportationStatusRecorded))
193;AG(displayMap -> AF(conferenceRoomLocations))
194;AG(updateAgenda -> AX(meetingAgendaUpdated))
195;AG(createMeeting -> AX(meetingConfirmationSent))
196;AG(searchParameters -> AF(displayRoomEquipment))
197;AG(searchParameters -> AF(displayConferenceRooms))
198;AG(recordMeeting -> AF(meetingTypeRecorded))
199;AG(equipmentReserved -> AF(recorded))
200;AG(equipmentTransportRequest -> AF(notifyBuildingPersonnel))
201;AG(privilegedUser -> AF(multipleReportingViews))
202;AG(sendNotifications -> AF(notificationsSentViaDifferentMethods))
203;AF(lookAndFeelCustomized)
204;AF(intuitiveUI)
205;AG(conferenceRoomUnreserved -> AF(displayAvailableStatus))
206;AG(inventoryQuantityAdjustmentRecreationInProgress -> AF(timeSpentOnRecreation <= 30))
207;AG(numberOfActiveUsers >= 6)
208;AG((changePassword | changePermissions) -> AF(consistentSecurity))
209;AG(forall j: subsystem(j) -> AF(forall i: accessRightsAssigned(i, j)))
210;AG(inventoryQuantityAdjustmentRequested -> AF(documentGenerated))
211;AG(inventoryQuantityAdjustmentRequested -> AF(documentGenerated))
212;AG(currentInventoryStatus -> AF(inventoryAdjusted))
213;AF(enterFormula) & AF(storeFormula) & AF(modifyFormula)
214;AG(productFormula -> AF(useSemiProduct))
215;AG(productFormulaIngredient -> AF(defineSubstitutionaryIngredient))
216;AG(substitutionaryIngredient -> AF(enteredAutomaticallyByPFE))
217;AG(persistedOrderKept)
218;AF(enterMenu) & AF(storeMenu) & AF(modifyMenu)
219;AG(accountingSystemProducts -> AF(buildProductMenus))
220;AG(PMESubsystemActive -> AF(managedAndPersistedOrder))
221;AG(PMESubsystemActive -> AG(productInMultipleSubmenus))
222;AG(productDailySalesData & productFormulas -> AF(inventoryQuantityAdjustment))
223;AG(productSalesDataAvailable -> AF(inventoryQuantityAdjustment))
224;AG(adminSectionAccessed -> AF(prePaidCardActivated))
225;AG(pinEntered -> AF(prepaidCardStatusChecked))
226;AG(customerRegistrationInitiated -> AF(payAsYouGoUserRegistered))
227;AG(customerRegistrationInitiated -> AF(unlimitedMovieSubscriberRegistered))
228;AG(customerLoginAttempt -> AF(customerLoggedIn))
229;AG(accountCancellationRequested -> (AF(accountMarkedInactive) & AG(accountMarkedInactive -> !EF(customerLoggedIn))))
230;AG(adminDeactivateAccountRequested -> (AF(customerAccountDeactivated) & AG(customerAccountDeactivated -> !EF(customerAccessesWebsite))))
231;AG(adminAddMovieRequested -> AF(movieAddedToWebsite)) & AG(adminRemoveMovieRequested -> AF(movieRemovedFromWebsite))
232;AG(movieAddedToWebsite -> AF(movieInfoStoredInDatabase) & AF(movieAvailableOnWebsite))
233;AG((adminAddCategory | adminRemoveCategory) -> AF(categoryUpdatedOnWebsite))
234;AG(IzognManagerRequestsStatistics -> AF(statisticsAccessed))
235;AG(adminRequest -> AF(pinsGenerated & timeUnder2min)) & AG(pinsGenerated -> AF(excelCreated))
236;AG(userInteraction -> AF(systemResponse & responseWithinTime))
237;AG((moviePurchaseRequest | prePaidCardPurchaseRequest) -> AF(purchaseResponse & purchaseResponseWithinTime))
238;AG(movieStreaming -> AF(buffered & bufferedWithinTime))
239;AG(streamingMovie -> (connectionLatency <-> AF(bufferingOccurs)))
240;AG(creditCardInfoSecured & (authorizedAdmin -> creditCardInfoAccessible))
241;AG(websiteAvailable)
242;AG(movieRequested -> AF(movieStreaming))
243;AG(streamingServerDown -> AG(websiteOperational))
244;AG(paymentGatewayDown -> AG(websiteOperational))
245;AG(activeConnections <= 50)
246;AG(movieCount <= 700)
247;AG(simultaneousUsers <= 1000)
248;AG(totalCustomers <= 100000)
249;AG(updateRequest -> AF(updateCategory & timeElapsed <= 2))
250;AG(addProductRequest -> AF(addProduct & timeElapsed <= 2))
251;AG(purchaseStreamingMovie -> AF(registeredCustomer))
252;AG(streamMovie -> (purchasedMovie & viewingPeriod <= 2))
253;AG(accessCustomerRecords -> authorizedPersonnel)
254;AG(activatePrepaidCard -> administrator)
255;AG(accessSalesInfo -> authorizedPersonnel)
256;AG(incorrectData -> AG(!dataCorruption))
257;AG(intentionalAbuse -> (protection & AF(notifyAdministrator)))
258;AG(isWeekly -> runDataIntegrityScripts)
259;AG(privacyPolicyAccessible)
260;AG(infoPolicyChanged -> AF(customerNotified))
261;AG(revealPrivateInfo -> EF(complyInfoPolicy))
262;AG((secureDatabase & customerInformation) -> AF(authorizedAccess))
263;AG(creditCardInfo -> AF(encrypted))
264;AG(streamingServer -> AF(antiVirusSoftware))
265;AG(searchByTitle & searchByActor & searchByDirector)
266;AG(adminDataEntered -> EF(displayDescription & displayActor & displayDirector))
267;AG(requestPayment -> AX(authorizePayment & AX(streamMovie)))
268;AG(moviePurchased -> AF(streamMovieWithWMP & movieStreamingTime <= 2))
269;AG(categoriesEntered -> AF(browseCategories))
270;AG(selectMovie -> AF(viewReviews))
271;AG(selectMovie -> AF(addReview))
272;AG(postReview -> AF(approveReview))
273;AG(selectMovie -> EF(payWithPrepaidCard))
274;AG((purchasePrepaidCard & (creditCardPayment | mailInPaymentMethod)) -> AF((cardValue = 5) | (cardValue = 10) | (cardValue = 20)))
275;AG((dayOfWeek = Friday) -> AX(updateMainPage & (latestMoviesCount = 4)))
276;AG(accessMyAccount -> (AF(updateBillingInfo) & AF(updateContactInfo)))
277;AG(purchasePrepaidCard -> (AF(emailDistribution) | AF(printedPaperCard)))
278;AG(purchaseMovie -> EF(registeredCustomer))
279;AG(streamMovie -> EF(purchasedMovie & withinTwoDayPeriod))
280;AG(streamingMovieSale -> EF(loggedInDatabase & accessibleByAdmin))
281;AG(cancelAccount -> AF(storedInDatabase & maintained))
282;AG(administrator -> AF(accessibleStatistics)) & AG(statisticsLogged)
283;AG(owner -> AG(freeAccess))
284;AG(leadProcessingTime > 25 -> AF(recordEvent & recordDuration))
285;AG(defectReportAvailable)
286;AG(invalidLead -> AF(vendorVerification))
287;AG(submitRecord -> AF(applyToBillingSystem))
288;AG(highRangeScore -> AF(supplyToEnterpriseSystem))
289;AG(webServiceLeads -> AF(validateLeads))
290;AG(webServiceLeads -> AF(insertLeads))
291;AG(highAverageScore -> AF(ARAprocess))
292;AG(mediumAverageScore -> AF(manualVerification))
293;AG(lowAverageScore -> AF(returnedToVendor))
294;AG(contactScoring & academicScoring -> AF(totalScore))
295;AG((corporateParams & schoolParams) -> AF(partialLeadScore))
296;AG(leadRejected -> AF(leadDataReturned & reasonOfRejection))
297;EF(interfaceForLeadDataParameters)
298;AG(userUpdatesParameters -> AF(authenticationVerified & rightsVerified))
299;AG(enterpriseSystemReturnsDuplicates -> AF(storeDuplicates))
300;A[!submitToEnterprise W (assignAdmissionsRep)]
301;AF(receiveAvailableReps)
302;AF(simulateShipsAtSea)
303;AG(handleLargeNumberOfGames)
304;AG(playerAccess -> AF(!identityReveal))
305;AG(!identityReveal)
306;AG(playerList)
307;AG(userIdentifies -> AF(playerAdded))
308;AG(gameInitiated -> AF(playersUnavailable))
309;AF(playerRemoval)
310;AG(inactivePlayer -> AF(unavailableForSelection))
311;AG(inactiveFor24Hours -> AF(removedFromList))
312;AG(selectAnotherPlayer -> AX(gameInitiated))
313;AG(gameInitiated -> AX(displayDefensiveGrid))
314;AG(gameInitiated -> AX(displayOffensiveGrid))
315;AG(playerViewAttempt -> AF(!viewOtherPlayerGrid))
316;AG(gameInitiated -> AF(place5Ships))
317;AG(allowPositionShips -> AF(horizontalPlacement))
318;AG(allowPositionShips -> AF(verticalPlacement))
319;AG(allowPositionShips -> AF(diagonalPlacement))
320;AG(allowPositionShips -> AG(!overlapShips))
321;AG((positionShips(i) & positionShips(j)) -> A[!defineStatus U (defineStatus(i) & defineStatus(j))])
322;AG(turn -> ((offensiveStatus(i) & defensiveStatus(j)) | (offensiveStatus(j) & defensiveStatus(i))))
323;AG((offensiveStatus(i) & defensiveStatus(j)) -> AX(offensiveStatus(i) & defensiveStatus(j)))
324;AG(startTurn -> AF(notifyStatus))
325;AG(offensiveTurn -> AF(defineShot))
326;AG(defineShot -> AF(examineGrid))
327;AG(examineGrid -> AF(notifyPlayers))
328;AG(examineGrid -> AF(markDefensiveGrid))
329;AG(examineGrid -> AF(markOffensiveGrid))
330;AG(sinkShip -> AF(notifyPlayers))
331;AG(sinkShip -> AF(markSunkDefensiveGrid))
332;AG(sinkShip -> AF(indicateShipTypeDefensiveGrid))
333;AG(sinkShip -> AF(markShipSunkOffensiveGrid))
334;AG(markHit -> AF(defineShot))
335;AG(markMiss -> AF(changeStatusToDefensive))
336;AG(markMiss -> AF(changeStatusToOffensive))
337;AG(!gameEnded -> AF(assignTurn))
338;AG((hit & allShipsSunk) -> AF(gameEnded))
339;AG(playerRequestToEnd -> AF(gameEnded))
340;AG(gameEnded -> AF(notifyPlayers))
341;AG(gameEnded -> AF(notifyPlayers & (gameWon | playerEnded)))
342;AG(gameEnded -> AF(identifyAsAvailable))
343;AG(gameEnded -> AF(removeFromPlayers))
344;AG((currentTime >= 0 & currentTime <= 18) -> systemAvailable)
345;AG((currentTime >= 7 & currentTime <= 23) -> systemAvailable)
346;AG((isSupervisor -> AF(accessAdvertiseEmptySlots)) & (!isSupervisor -> AF(!accessAdvertiseEmptySlots)))
347;AG((isSupervisor -> AF(enterCallersSchedule)) & (!isSupervisor -> AF (!enterCallersSchedule)))
348;AG((isSupervisor -> AF(viewAllCallersSchedule)) & (!isSupervisor -> AF(!viewAllCallersSchedule)))
349;AG(asyncMessagingEnabled -> AF(parallelProcessing & reducedOverhead))
350;AG(dataLoadSpikes -> AF(multiThreading & loadBalancing))
351;AG(messageProcessingTime <= 2)
352;AG(pollingInterval <= 1)
353;AG((transparentResourceAddition & dynamicChangeSupport) -> AF(scalability & !serviceInterruptionMoreThan1Day))
354;AG(regularBusinessDay -> (availability >= 99.99))
355;AG(productRobustness & faultAvoidance)
356;AG(processAllTransactions & millionTransactionsPerYear)
357;AG(authentication & authorization)
358;AG(privacy & integrity)
359;AG(auditCapabilities -> AF(storeMessages & (auditTrackingPeriod >= 1)))
360;AG(W3Accessible -> AF(WCSAvailable))
361;AF(canConnect)
362;AG(managementApproval -> AF(accessOutsideUS))
363;AG(systemAccess -> AF(authenticated & isCCREmployee))
364;AG(!automaticLogin & !storeCookies)
365;AG(teamOwner -> AF(authenticated & teamOwnerPage))
366;AG(commissioner -> AF(commissionerAdjustSettings))
367;AG(requestReceived -> AX(transactionCompleted))
368;AG(N <= 350 -> !degradation)
369;AG(upTimePercentage >= 95)
370;AG(searchTime <= acceptableTime)
371;AG(searchCriteriaEntered -> AF(searchTime <= 30))
372;AG(generateCMAReport -> AF(acceptableTime))
373;AG(cmaCriteriaEntered -> (cmaReportTime <= 60))
374;AF(sync & acceptableTime)
375;AG(hourElapsed -> AF(syncWithOffice))
376;AG(productAvailable)
377;AG(accessCount <= 1000 -> AF(systemAvailableCount >= 999))
378;AG(internetUnavailable -> AF(offlineMode))
379;AG(viewSearchResults & viewCMAReports & viewAppointments)
380;AG(failure -> AF(retainPreferences))
381;AG(systemOnline -> AF(restorePreferences))
382;AG(supportMultiRemoteUsers)
383;AG(simultaneousUsers <= 1000)
384;AG(currentUsers <= 1000) & AG(yearPassed -> AF(usersGrown))
385;AG(registeredRealtor -> AF(accessGranted))
386;AG(user -> AF(authenticated & authorized))
387;AG(!incorrectData)
388;AF(agentQueryMLS)
389;AG(SelectProperty -> AF(getDrivingDirections))
390;AF(downloadAppointments) & AF(downloadContactInfo)
391;AG(displayClearPropertyImages)
392;AG(handleUserRequests))
393;AG(caterSimultaneousUsers))
394;AG(processNursingStudents & processClasses)
395;AG(manageCurriculum & manageClassScheduling)
396;EF(callToScheduleAppointment)
397;AG(syncWithOffice -> AF(realtorNotified))
398;AG(requestMap -> AF(mapRetrieved))
399;AG((sellerResponse | buyerResponse) -> AF(realtorNotified))
400;AF(userSavesSearchResults)
401;AG(tasksAssigned -> AF(tasksCompleted & timelyManner))
402;AG(studentManagementTasks -> responseTime <= 5) & AG(scheduleGeneration -> responseTime <= 30)
403;AG((currentTimeInHours() >= 8  & currentTimeInHours() <= 18) -> AG(systemAvailable))
404;AG(userAuthorized -> AF(accessClinicalSiteInfo))
405;AG(programAdmin | nursingStaff -> AF(accessClinicalSiteDetails))
406;AG(authorizedUser -> AF(accessPersonalInfo))
407;AG((user = DrSusanPoslusny) | (user = DrJulieDonalek) -> AF(accessPersonalInfo))
408;AG(authorizedUser -> AF(accessCampusConnect))
409;AG((user = DrSusanPoslusny | user = KarenSysol) -> AF(accessFinalClassSectionScheduling & CampusConnect))
410;AG(dataInput -> AF(dataIntegrityChecked))
411;AG(dataInput -> AF(protectedAccordingToPolicy))
412;AG(!systemUnderThreat)
413;AG(cohort -> EX(programOfStudy))
414;AG((programAdmin | nursingStaff) -> AF(addStudentsToCohort))
415;AG((programAdmin | nursingStaff) -> AF(addSingleStudentToCohort))
416;AG(addStudentToCohort -> AF(studentEligibleForProgram))
417;AG((programAdmin | nursingStaff) -> AF(specifyPreferredSequence))
418;AG((programAdmin | nursingStaff) -> AF(specifyQuarterForClass))
419;AG((programAdmin | nursingStaff) -> AF(addClassToSequence))
420;AF(displaySyncMatrixData & displayExerciseManagementToolData)
421;AG(eventLinkedToSyncMatrix | eventLinkedToExerciseManagementTool)
422;AF(modifyDisplay)
423;AG(displayAllEvents)
424;AG(filterByVenues) & AG(filterByKeyEvents)
425;AG(allowUserDefineTimeSegments)
426;AG(displayLocalTime & displayExerciseTime)
427;AG(pauseDataRefresh -> AF(resumeDataRefresh))
428;AG(provideCharts)
429;AG(budgetingPeriod -> AF(RFSavailability))
430;AG(budgetingPeriod -> AG(systemAvailable))
431;AG((UASUser & RFSRole) -> AX(accessRFS)) & AG(accessRFS -> authorizedUser)
432;AG((routineCommunication & upcomingClasses) -> AF(notifyAffectedParties))
433;AG((clinicalSectionCapacityChange | clinicalSectionCancellation) -> AF(notifyAffectedParties))
434;AG((classCancellation | classSectionDetailChange | classOfferingChange) -> AF(notifyAffectedParties))
435;AG(communication -> EF(useStoredEmailAddresses))
436;AG(userAccess -> AF(validPermission))
437;AG((requested & VehicleCore) -> AF(allowedTransition))
438;AG(clientRegistered -> AF(sendNotification))
439;AG(uavActivated -> AF(uniqueIDAssigned))
440;AG(forall u: forall f1, f2: (f1 != f2) -> ((executing(u, f1) -> !executing(u, f2))))
441;AG(forall i, j: (i != j) -> ((drone(i) -> !drone(j)) & (drone(j) -> !drone(i))))
442;forall i: AF(uavType(i))
443;AG(waypoint(i) -> (longitude(i) & latitude(i) & altitude(i)))
444;AG(flightPlanExecuted -> AF(nextWaypointSent(i)))
445;forall i, j: AF(pendingFlightPlan(i, j))
446;AG(unassignRequest(i) & flightPlanAssigned(i) & awaitingExecution(i) -> AF(flightPlanUnassigned(i)))
447;forall i: AG((pendingFlightPlans(i) & finalWaypointReached(i)) -> AF(nextFlightPlanExecuted(i)))
448;forall i: AG((flightCancelled(i)) -> AG(!scheduledFlightPlan(i)))
449;forall i: AF(uiClientRegistered(i))
450;forall i: AG(controlClientAssigned(i))
451;forall i: AG(commandIssued(i) -> AF(controlRequested(i)))
452;A[!mapDisplayed U (realTimeFlightUiLoaded & mapDisplayed)]
453;forall i: AG(uavActive(i) -> uavIconDisplayed(i))
454;forall i: AG(objectProximity(i) -> evasiveDirectiveIssued(i))
455;forall i: AG(evasiveActionTaken(i) -> AF(destinationReached(i)))
456;forall i, c: AG(commandIssued(i, c) -> withinCapabilities(i, c))
457;forall i: AG(activeOnboardAvoidance(i) -> !directiveIssued(i))
458;forall i: AG(gcsRequestActivation(i) -> AF(activationRequestForwarded(i)))
459;forall i: AG(uavActivated(i) -> uavRegistered(i))
460;forall i: AG(gcsConnectionLost(i) -> AF(gcsReconnectAttempt(i)))
461;forall i: AG(returnHomeCommand(i) -> (AF(returnHomeInProgress(i)) & (!additionalWaypoint(i) & !routingCommand(i))))
462;forall i, j, k: AG((flightRoute(i) & waypointOrder(i, j, k)) -> (AF(firstWaypoint(i, j)) & AF(finalWaypoint(i, k))))
463;forall i: AG(flightRoute(i) -> AF(VALID_FLIGHT_ROUTE(i)))
464;forall i: AG(flightRoute(i) -> AF(persistedFlightRoute(i)))
465;forall i: AG(customTakeoffAltitudeRequired(i) -> EX(takeoffAltitudeSpecified(i)))
466;forall i: AG(requestTransformCoordinates(i) -> AX(transformedCoordinates(i)))
467;forall i, j: AG(requestDistance(i, j) -> EX(distanceComputed(i, j)))
